,taxon_name_w_authors,v10_accepted_name_w_author,v13_taxon_name_w_authors,v13_chained_accepted_name_w_author,v13_chained_accepted_species_w_author,v13_direct_accepted_name_w_author,v13_direct_accepted_species_w_author
1330,Cleome nummularia DC.,Cleome rosea Vahl ex DC.,Cleome rosea Vahl ex DC.,Cleome rosea Vahl ex DC.,Cleome rosea Vahl ex DC.,Cleome parviflora subsp. psoraleifolia (DC.) Iltis,Cleome parviflora Kunth
1972,Panicum nitidum Lam.,Dichanthelium dichotomum (L.) Gould,Dichanthelium dichotomum (L.) Gould,Dichanthelium dichotomum (L.) Gould,Dichanthelium dichotomum (L.) Gould,Dichanthelium nitidum (Lam.) Mohlenbr.,Dichanthelium nitidum (Lam.) Mohlenbr.
2041,Conohoria passoura DC.,Rinorea flavescens (Aubl.) Kuntze,Rinorea flavescens (Aubl.) Kuntze,Rinorea flavescens (Aubl.) Kuntze,Rinorea flavescens (Aubl.) Kuntze,Rinorea pubiflora (Benth.) Sprague & Sandwith,Rinorea pubiflora (Benth.) Sprague & Sandwith
3117,Acalypha integrifolia var. crateriana Coode,Acalypha marginata (Poir.) Spreng.,Acalypha marginata (Poir.) Spreng.,Acalypha marginata (Poir.) Spreng.,Acalypha marginata (Poir.) Spreng.,Acalypha crateriana (Coode) I.Montero & Cardiel,Acalypha crateriana (Coode) I.Montero & Cardiel
3170,Acalypha dupraeana var. sylvicola Baill.,Acalypha oxyodonta (Müll.Arg.) Müll.Arg.,Acalypha oxyodonta (Müll.Arg.) Müll.Arg.,Acalypha amblyodonta (Müll.Arg.) Müll.Arg.,Acalypha amblyodonta (Müll.Arg.) Müll.Arg.,Acalypha brasiliensis subsp. psilophylla (Müll.Arg.) Cardiel & A.A.C.Sousa,Acalypha brasiliensis Müll.Arg.
3392,Acalypha major Baill.,Acalypha weddelliana Baill.,Acalypha weddelliana Baill.,Acalypha accedens Müll.Arg.,Acalypha accedens Müll.Arg.,Acalypha brasiliensis subsp. psilophylla (Müll.Arg.) Cardiel & A.A.C.Sousa,Acalypha brasiliensis Müll.Arg.
3394,Acalypha brasiliensis var. psilophylla Müll.Arg.,Acalypha weddelliana Baill.,Acalypha weddelliana Baill.,Acalypha accedens Müll.Arg.,Acalypha accedens Müll.Arg.,Acalypha brasiliensis subsp. psilophylla (Müll.Arg.) Cardiel & A.A.C.Sousa,Acalypha brasiliensis Müll.Arg.
4504,Ajuga nanti Boreau,Ajuga pyramidalis subsp. pyramidalis,Ajuga pyramidalis subsp. pyramidalis,Ajuga pyramidalis subsp. pyramidalis,Ajuga pyramidalis L.,Ajuga reptans L.,Ajuga reptans L.
6177,Angraecum longinode Frapp. ex Cordem.,Angraecum patens Frapp. ex Cordem.,Angraecum patens Frapp. ex Cordem.,Angraecum patens Frapp. ex Cordem.,Angraecum patens Frapp. ex Cordem.,Angraecum costatum Frapp. ex Cordem.,Angraecum costatum Frapp. ex Cordem.
6361,Mystacidium spicatum Cordem.,Angraecum tenellum (Ridl.) Schltr.,Angraecum tenellum (Ridl.) Schltr.,Angraecum tenellum (Ridl.) Schltr.,Angraecum tenellum (Ridl.) Schltr.,Angraecum parvulum Ayres ex S.Moore,Angraecum parvulum Ayres ex S.Moore
