,taxon_name_w_authors,v10_accepted_name_w_author,v11_taxon_name_w_authors,v11_chained_accepted_name_w_author,v11_chained_accepted_species_w_author,v11_direct_accepted_name_w_author,v11_direct_accepted_species_w_author
4539,Ajuga nanti Boreau,Ajuga pyramidalis subsp. pyramidalis,Ajuga pyramidalis subsp. pyramidalis,Ajuga pyramidalis subsp. pyramidalis,Ajuga pyramidalis L.,Ajuga reptans L.,Ajuga reptans L.
8720,Asperula saxatilis Lam.,Cynanchica nitida subsp. nitida,Cynanchica nitida subsp. nitida,Cynanchica nitida subsp. nitida,Cynanchica nitida (Sm.) P.Caputo & Del Guacchio,Cynanchica pyrenaica subsp. cynanchica (L.) P.Caputo & Del Guacchio,Cynanchica pyrenaica (L.) P.Caputo & Del Guacchio
9015,Attalea camposportoana Burret,Attalea apoda Burret,Attalea apoda Burret,Attalea exigua Drude,Attalea exigua Drude,Attalea compta Mart.,Attalea compta Mart.
9025,Attalea gomphococca Mart.,Attalea butyracea (Mutis ex L.f.) Wess.Boer,Attalea butyracea (Mutis ex L.f.) Wess.Boer,Attalea butyracea (Mutis ex L.f.) Wess.Boer,Attalea butyracea (Mutis ex L.f.) Wess.Boer,Attalea phalerata Mart. ex Spreng.,Attalea phalerata Mart. ex Spreng.
9026,Scheelea gomphococca (Mart.) Burret,Attalea butyracea (Mutis ex L.f.) Wess.Boer,Attalea butyracea (Mutis ex L.f.) Wess.Boer,Attalea butyracea (Mutis ex L.f.) Wess.Boer,Attalea butyracea (Mutis ex L.f.) Wess.Boer,Attalea phalerata Mart. ex Spreng.,Attalea phalerata Mart. ex Spreng.
9031,Attalea pycnocarpa Wess.Boer,Attalea butyracea (Mutis ex L.f.) Wess.Boer,Attalea butyracea (Mutis ex L.f.) Wess.Boer,Attalea butyracea (Mutis ex L.f.) Wess.Boer,Attalea butyracea (Mutis ex L.f.) Wess.Boer,Attalea sagotii (Trail ex Thurn) Wess.Boer,Attalea sagotii (Trail ex Thurn) Wess.Boer
9058,Attalea polysticha (Burret) Wess.Boer,Attalea microcarpa Mart.,Attalea microcarpa Mart.,,,Attalea sagotii (Trail ex Thurn) Wess.Boer,Attalea sagotii (Trail ex Thurn) Wess.Boer
9059,Orbignya polysticha Burret,Attalea microcarpa Mart.,Attalea microcarpa Mart.,,,Attalea sagotii (Trail ex Thurn) Wess.Boer,Attalea sagotii (Trail ex Thurn) Wess.Boer
9060,Attalea sagotii (Trail ex Thurn) Wess.Boer,Attalea microcarpa Mart.,Attalea microcarpa Mart.,,,Attalea sagotii (Trail ex Thurn) Wess.Boer,Attalea sagotii (Trail ex Thurn) Wess.Boer
9061,Orbignya sabulosa Barb.Rodr.,Attalea microcarpa Mart.,Attalea microcarpa Mart.,,,Attalea sagotii (Trail ex Thurn) Wess.Boer,Attalea sagotii (Trail ex Thurn) Wess.Boer
